SITE,PROV,BLOCK,TREE,S_MAT,S_MCMT,S_MAP,S_MSP,S_Latitude,S_Longitude,S_Elevation,P_MAT,P_MCMT,P_MAP,P_MSP,P_Elevation,P_Latitude,P_Longitude,Height,live
MID,12,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,956.7630837,1
MID,12,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,901.007204,1
MID,12,3,1,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,912.6380122,1
MID,12,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,883.4545398,1
MID,12,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,897.5584661,1
MID,12,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,954.2494777,1
MID,12,4,2,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,838.4910024,1
MID,12,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,925.326141,1
MID,12,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,920.9142374,1
MID,12,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,927.0900838,1
MID,12,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,920.9142374,1
MID,12,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,882.2009796,1
MID,13,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,693.6996833,1
MID,13,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,702.698527,1
MID,13,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,695.1541809,1
MID,13,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,544.5221399,1
MID,13,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,647.753085,1
MID,13,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,693.9939218,1
MID,13,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,598.231654,1
MID,13,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,544.5221399,1
MID,13,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,544.5221399,1
MID,13,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,621.4745187,1
MID,13,4,3,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,738.58801,1
MID,13,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,723.2635422,1
MID,13,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,665.3471667,1
MID,13,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,544.5221399,1
MID,13,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,649.2212202,1
MID,13,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,701.1520243,1
MID,13,4,2,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,662.1968396,1
MID,13,3,1,1.9,-12.9,565,247,54.199481,-125.002,670,2.1,-8.6,787,299,1661,49.68779066,-116.1442423,711.8783953,1
MID,14,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,853.5393671,1
MID,14,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,873.6941326,1
MID,14,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,887.2353777,1
MID,14,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,917.0246787,1
MID,14,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,730.0453272,1
MID,14,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,937.720931,1
MID,14,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,901.6658447,1
MID,14,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,730.0453272,1
MID,14,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,863.4064182,1
MID,14,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,914.0838078,1
MID,14,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,883.8442239,1
MID,14,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,1,-13.8,569,261,762,55.91509299,-124.9088847,914.0838078,1
